date,month,hour,minute,second,index,unknown1,unknown2,x,y
1,11,10,58,2,900,10,1001020,50067.375,158227.390625
1,11,10,59,3,900,10,1001020,50055.625,157787.265625
1,11,11,0,2,900,10,1001020,50047.75,157467.453125
1,11,11,0,58,900,10,1001020,49877.625,157071.234375
1,11,11,1,53,900,10,1001020,49217.625,157078.46875
1,11,11,2,51,900,10,1001020,48777.875,157082.203125
1,11,11,3,50,900,10,1001020,47977.75,157089.265625
1,11,11,4,52,900,10,1001020,47737.75,157091.359375
1,11,11,5,55,900,10,1001020,47177.875,157101.828125
1,11,11,6,56,900,10,1001020,46418.25,157118.390625
1,11,11,6,57,900,10,1001020,46418.25,157118.390625
1,11,11,7,58,900,10,1001020,46054.625,156983.53125
1,11,11,9,0,900,10,1001020,45658.125,156750.453125
1,11,11,10,3,900,10,1001020,44972.0,156341.328125
1,11,11,11,6,900,10,1001020,44765.375,156219.125
1,11,11,12,7,900,10,1001020,44386.5,155995.21875
1,11,11,13,5,900,10,1001020,44094.0,155822.15625
1,11,11,14,4,900,10,1001020,43922.0,155720.078125
1,11,11,15,4,900,10,1001020,43801.375,155648.75
1,11,11,16,7,900,10,1001020,43543.375,155495.828125
1,11,11,17,9,900,10,1001020,43302.25,155353.875
1,11,11,18,10,900,10,1001020,43115.375,155109.078125
1,11,11,19,10,900,10,1001020,43390.5,154644.359375
1,11,11,20,10,900,12,1201017,43665.625,154179.65625
1,11,11,21,9,900,12,1201017,43787.625,153972.953125
1,11,11,22,9,900,12,1201017,44042.5,153542.9375
1,11,11,23,9,900,12,1201017,44463.125,153133.40625
1,11,11,24,9,900,12,1201017,44669.5,153255.625
1,11,11,25,9,900,12,1201017,44893.5,153388.0625
1,11,11,26,10,900,12,1201017,45065.75,153489.78125
1,11,11,27,12,900,12,1201017,45358.25,153662.859375
1,11,11,28,11,900,12,1201017,45667.5,153846.90625
1,11,11,29,12,900,12,1201017,45805.375,154284.21875
1,11,11,30,12,900,12,1201017,46218.625,154527.921875
1,11,11,31,18,900,12,1201017,46494.125,154690.765625
1,11,11,32,14,900,12,1201017,46580.0,154742.0
1,11,11,33,18,900,12,1201017,46907.25,154935.21875
1,11,11,34,18,900,12,1201017,47303.125,155169.796875
1,11,11,35,18,900,12,1201017,47698.875,155404.015625
1,11,11,36,26,900,12,1201017,48266.875,155740.0
1,11,11,37,23,900,12,1201017,49142.0,156263.421875
1,11,11,39,24,900,12,1201017,49998.5,157069.640625
1,11,11,40,24,900,12,1201017,50032.375,156781.859375
1,11,11,41,25,900,12,1201017,50032.375,156781.859375
1,11,11,42,29,900,12,1200021,50031.375,156781.15625
1,11,11,43,31,900,12,1200021,50031.375,156781.15625
1,11,11,44,30,900,12,1200021,49498.375,156466.703125
1,11,11,45,31,900,12,1200021,48925.375,156139.1875
1,11,11,46,42,900,12,1200021,48000.375,155582.421875
1,11,11,47,35,900,12,1200021,47828.125,155480.6875
1,11,12,1,16,900,12,1200021,43515.125,154433.609375
1,11,12,1,17,900,12,1200021,43515.125,154433.609375
1,11,12,2,14,900,12,1200021,43301.125,154794.96875
1,11,12,3,11,900,12,1200021,43727.0,155109.15625
1,11,12,4,8,900,12,1200021,44071.125,155312.9375
1,11,12,5,5,900,12,1200021,44071.125,155312.9375
1,11,12,6,2,900,10,1000018,44156.75,155363.796875
1,11,12,7,1,900,10,1000018,44621.5,155638.921875
1,11,12,8,0,900,10,1000018,44621.5,155638.921875
1,11,12,8,52,900,10,1000018,45154.875,155954.6875
1,11,12,9,56,900,10,1000018,45430.5,156117.515625
1,11,12,10,54,900,10,1000018,46015.25,156464.40625
1,11,12,11,51,900,10,1000018,46574.25,157022.6875
1,11,12,12,48,900,10,1000018,46748.5,157106.5
1,11,12,13,45,900,10,1000018,47768.5,157091.125
1,11,12,14,44,900,10,1000018,48108.375,157087.828125
1,11,12,15,40,900,10,1000018,48548.5,157084.078125
1,11,12,16,38,900,10,1000018,49248.375,157077.875
1,11,12,18,33,900,10,1000018,50044.625,157318.296875
1,11,12,18,33,900,10,1000018,50044.625,157318.296875
1,11,12,19,30,900,10,1000018,50066.875,158217.90625
1,11,12,20,28,900,10,1000018,50085.5,158837.765625
1,11,12,21,28,900,10,1000018,50083.75,158786.734375
1,11,12,22,28,900,10,1000018,50132.625,160045.5625
1,11,12,23,25,900,10,1000018,50155.125,160805.4375
1,11,12,24,22,900,10,1000018,50174.0,161465.0625
1,11,12,25,20,900,10,1000018,50212.25,162824.421875
1,11,12,26,17,900,10,1000018,50369.5,163399.296875
1,11,12,27,14,900,10,1000018,50218.125,163928.296875
1,11,12,28,13,900,10,1000018,50225.375,163291.15625
1,11,12,29,11,900,10,1000018,50225.375,163291.15625
1,11,12,30,9,900,10,1000018,50225.375,163291.15625
1,11,12,31,8,900,10,1000018,50225.375,163291.15625
1,11,12,32,6,900,10,1000018,50225.375,163291.15625
1,11,12,33,5,900,10,1000018,50225.0,163284.96875
1,11,12,34,3,900,10,1001020,50225.25,163283.5
1,11,12,35,0,900,10,1001020,50225.25,163283.5
1,11,12,35,58,900,10,1001020,50225.25,163283.5
1,11,12,36,56,900,10,1001020,50225.25,163283.5
1,11,12,37,54,900,10,1001020,50225.25,163283.5
1,11,12,38,50,900,10,1001020,50189.625,162025.140625
1,11,12,39,49,900,10,1001020,50160.375,160985.5625
1,11,12,40,47,900,10,1001020,50124.875,159785.9375
1,11,12,41,47,900,10,1001020,50082.75,158746.984375
1,11,12,42,44,900,10,1001020,50081.5,158707.96875
1,11,12,43,42,900,10,1001020,50065.75,158168.3125
1,11,12,43,57,900,10,1001020,50065.125,158148.265625
1,11,12,44,1,900,10,1001020,50064.0,158108.15625
1,11,12,44,7,900,10,1001020,50058.375,157888.265625
1,11,12,44,11,900,10,1001020,50055.25,157768.296875
1,11,12,44,14,900,10,1001020,50051.875,157628.265625
1,11,12,44,18,900,10,1001020,50049.5,157528.34375
1,11,12,44,22,900,10,1001020,50046.625,157408.375
1,11,12,44,25,900,10,1001020,50044.5,157308.453125
1,11,12,44,29,900,10,1001020,50041.75,157188.46875
1,11,12,44,32,900,10,1001020,50039.875,157108.609375
1,11,12,44,37,900,10,1001020,50039.5,157088.546875
1,11,12,44,40,900,10,1001020,50018.625,157069.25
1,11,12,44,44,900,10,1001020,49978.75,157070.015625
1,11,12,44,48,900,10,1001020,49958.5,157070.046875
1,11,12,44,51,900,10,1001020,49958.5,157070.046875
1,11,12,44,55,900,10,1001020,49958.5,157070.046875
1,11,12,44,59,900,10,1001020,49958.5,157070.046875
1,11,12,45,2,900,10,1001020,49958.5,157070.046875
1,11,12,45,7,900,10,1001020,49958.5,157070.046875
1,11,12,45,9,900,10,1001020,49898.625,157071.1875
1,11,12,45,13,900,10,1001020,49818.625,157072.0
1,11,12,45,18,900,10,1001020,49758.75,157073.15625
1,11,12,45,21,900,10,1001020,49718.75,157073.5625
1,11,12,45,24,900,10,1001020,49698.75,157073.9375
1,11,12,45,28,900,10,1001020,49598.625,157074.78125
1,11,12,45,32,900,10,1001020,49458.625,157076.015625
1,11,12,45,36,900,10,1001020,49338.75,157077.234375
1,11,12,45,39,900,10,1001020,49258.5,157078.046875
1,11,12,45,43,900,10,1001020,49138.625,157078.890625
1,11,12,45,45,900,10,1001020,49038.75,157080.09375
1,11,12,45,50,900,10,1001020,48958.625,157080.546875
1,11,12,45,52,900,10,1001020,48858.75,157081.375
1,11,12,45,57,900,10,1001020,48778.875,157082.1875
1,11,12,46,1,900,10,1001020,48758.875,157082.203125
1,11,12,46,3,900,10,1001020,48758.875,157082.203125
1,11,12,46,7,900,10,1001020,48758.875,157082.203125
1,11,12,46,11,900,10,1001020,48718.625,157082.609375
1,11,12,46,14,900,10,1001020,48618.75,157083.453125
1,11,12,46,18,900,10,1001020,48498.625,157084.671875
1,11,12,46,22,900,10,1001020,48378.75,157085.53125
1,11,12,46,25,900,10,1001020,48258.625,157086.75
1,11,12,46,28,900,10,1001020,48037.625,157088.46875
1,11,12,46,32,900,10,1001020,47977.75,157089.265625
1,11,12,46,36,900,10,1001020,47977.75,157089.265625
1,11,12,46,39,900,10,1001020,47977.75,157089.265625
1,11,12,46,43,900,10,1001020,47977.75,157089.265625
1,11,12,46,47,900,10,1001020,47977.75,157089.265625
1,11,12,46,49,900,10,1001020,47977.75,157089.265625
1,11,12,46,54,900,10,1001020,47977.75,157089.265625
1,11,12,46,58,900,10,1001020,47977.75,157089.265625
1,11,12,47,1,900,10,1001020,47977.75,157089.265625
1,11,12,47,4,900,10,1001020,47977.75,157089.265625
1,11,12,47,8,900,10,1001020,47977.75,157089.265625
1,11,12,47,12,900,10,1001020,47977.75,157089.265625
1,11,12,47,16,900,10,1001020,47977.75,157089.265625
1,11,12,47,18,900,10,1001020,47977.75,157089.265625
1,11,12,47,23,900,10,1001020,47977.75,157089.265625
1,11,12,47,25,900,10,1001020,47977.75,157089.265625
1,11,12,47,29,900,10,1001020,47977.75,157089.265625
1,11,12,47,33,900,10,1001020,47957.75,157089.28125
1,11,12,47,36,900,10,1001020,47917.75,157089.703125
1,11,12,47,40,900,10,1001020,47897.75,157089.71875
1,11,12,47,44,900,10,1001020,47857.875,157090.125
1,11,12,47,47,900,10,1001020,47797.625,157090.5625
1,11,12,47,51,900,10,1001020,47757.75,157090.96875
1,11,12,47,55,900,10,1001020,47737.75,157091.359375
1,11,12,47,59,900,10,1001020,47737.75,157091.359375
1,11,12,48,1,900,10,1001020,47737.75,157091.359375
1,11,12,48,6,900,10,1001020,47737.75,157091.359375
1,11,12,48,8,900,10,1001020,47737.75,157091.359375
1,11,12,48,13,900,10,1001020,47737.75,157091.359375
1,11,12,48,16,900,10,1001020,47737.75,157091.359375
1,11,12,48,20,900,10,1001020,47737.75,157091.359375
1,11,12,48,32,900,10,1001020,47677.75,157092.515625
1,11,12,48,33,900,10,1001020,47597.625,157094.796875
1,11,12,48,34,900,10,1001020,47378.0,157099.78125
1,11,12,48,42,900,10,1001020,47277.875,157100.625
1,11,12,48,45,900,10,1001020,47177.875,157101.828125
1,11,12,48,46,900,10,1001020,47077.75,157103.046875
1,11,12,48,49,900,10,1001020,46977.875,157103.875
1,11,12,48,51,900,10,1001020,46918.0,157104.671875
1,11,12,48,56,900,10,1001020,46918.0,157104.671875
1,11,12,48,59,900,10,1001020,46918.0,157104.671875
1,11,12,49,3,900,10,1001020,46897.75,157104.703125
1,11,12,49,6,900,10,1001020,46877.75,157105.09375
1,11,12,49,10,900,10,1001020,46797.875,157105.90625
1,11,12,49,13,900,10,1001020,46698.0,157107.484375
1,11,12,49,21,900,10,1001020,46478.125,157115.40625
1,11,12,49,24,900,10,1001020,46398.25,157119.140625
1,11,12,49,28,900,10,1001020,46318.125,157122.890625
1,11,12,49,32,900,10,1001020,46246.75,157090.703125
1,11,12,49,51,900,10,1001020,45831.5,156850.328125
1,11,12,50,1,900,10,1001020,45692.125,156771.6875
1,11,12,50,18,900,10,1001020,45692.125,156771.6875
1,11,12,50,22,900,10,1001020,45692.125,156771.6875
1,11,12,50,29,900,10,1001020,45692.125,156771.6875
1,11,12,50,40,900,10,1001020,45692.125,156771.6875
1,11,12,50,47,900,10,1001020,45624.125,156729.59375
1,11,12,51,15,900,10,1001020,45282.0,156524.640625
1,11,12,51,22,900,10,1001020,45282.0,156524.640625
1,11,12,51,33,900,10,1001020,45178.625,156463.546875
1,11,12,51,40,900,10,1001020,45092.5,156412.6875
1,11,12,51,47,900,10,1001020,45075.375,156402.4375
1,11,12,51,51,900,10,1001020,45075.375,156402.4375
1,11,12,51,53,900,10,1001020,45075.375,156402.4375
1,11,12,52,0,900,10,1001020,45075.375,156402.4375
1,11,12,52,5,900,10,1001020,45075.375,156402.4375
1,11,12,52,8,900,10,1001020,45075.375,156402.4375
1,11,12,52,12,900,10,1001020,45075.375,156402.4375
1,11,12,52,15,900,10,1001020,45075.375,156402.4375
1,11,12,52,19,900,10,1001020,45058.125,156392.1875
1,11,12,52,22,900,10,1001020,45023.625,156371.703125
1,11,12,52,26,900,10,1001020,44972.0,156341.328125
1,11,12,52,36,900,10,1001020,44799.75,156239.625
1,11,12,52,40,900,10,1001020,44730.875,156199.0
1,11,12,52,44,900,10,1001020,44679.25,156168.28125
1,11,12,52,51,900,10,1001020,44662.0,156158.03125
1,11,12,52,57,900,10,1001020,44662.0,156158.03125
1,11,12,53,11,900,10,1001020,44662.0,156158.03125
1,11,12,53,18,900,10,1001020,44662.0,156158.03125
1,11,12,53,25,900,10,1001020,44662.0,156158.03125
1,11,12,53,29,900,10,1001020,44662.0,156158.03125
1,11,12,53,42,900,10,1001020,44662.0,156158.03125
1,11,12,53,43,900,10,1001020,44662.0,156158.03125
1,11,12,53,46,900,10,1001020,44662.0,156158.03125
1,11,12,53,50,900,10,1001020,44644.75,156148.15625
1,11,12,53,57,900,10,1001020,44507.0,156066.5625
1,11,12,54,0,900,10,1001020,44420.875,156015.703125
1,11,12,54,11,900,10,1001020,44180.125,155873.015625
1,11,12,54,15,900,10,1001020,44128.375,155842.65625
1,11,12,54,18,900,10,1001020,44111.125,155832.40625
1,11,12,54,21,900,10,1001020,44111.125,155832.40625
1,11,12,54,26,900,10,1001020,44111.125,155832.40625
1,11,12,54,57,900,10,1001020,44111.125,155832.40625
1,11,12,55,4,900,10,1001020,44111.125,155832.40625
1,11,12,55,11,900,10,1001020,44111.125,155832.40625
1,11,12,55,15,900,10,1001020,44111.125,155832.40625
1,11,12,55,36,900,10,1001020,43715.5,155597.53125
1,11,12,55,49,900,10,1001020,43595.0,155526.1875
1,11,12,55,55,900,10,1001020,43595.0,155526.1875
1,11,12,56,3,900,10,1001020,43595.0,155526.1875
1,11,12,56,7,900,10,1001020,43595.0,155526.1875
1,11,12,56,16,900,10,1001020,43560.5,155506.0625
1,11,12,56,35,900,10,1001020,43543.375,155495.828125
1,11,12,56,41,900,10,1001020,43543.375,155495.828125
1,11,12,56,46,900,10,1001020,43543.375,155495.828125
1,11,12,56,49,900,10,1001020,43526.125,155485.578125
1,11,12,56,52,900,10,1001020,43526.125,155485.578125
1,11,12,56,56,900,10,1001020,43474.5,155455.21875
1,11,12,57,4,900,10,1001020,43388.625,155403.984375
1,11,12,57,15,900,10,1001020,43232.625,155314.015625
1,11,12,57,21,900,10,1001020,43112.5,155241.9375
1,11,12,57,25,900,10,1001020,43078.625,155221.078125
1,11,12,57,33,900,10,1001020,43078.625,155221.078125
1,11,12,57,53,900,10,1001020,43064.25,155195.453125
1,11,12,58,8,900,10,1001020,43094.875,155143.78125
1,11,12,58,25,900,10,1001020,43115.375,155109.078125
1,11,12,58,33,900,10,1001020,43125.375,155092.109375
1,11,12,58,37,900,10,1001020,43125.375,155092.109375
1,11,12,58,40,900,10,1001020,43135.625,155074.75
1,11,12,59,1,900,10,1001020,43135.625,155074.75
1,11,12,59,6,900,10,1001020,43319.125,154765.0625
1,11,13,0,37,900,12,1201016,43726.5,154076.3125
1,11,13,0,42,900,12,1201016,43818.5,153921.640625
1,11,13,1,41,900,12,1201016,44215.625,153250.25
1,11,13,2,46,900,12,1201016,44652.625,153245.375
1,11,13,4,48,900,12,1201016,45048.5,153479.53125
1,11,13,5,52,900,12,1201016,45323.75,153642.359375
1,11,13,6,58,900,12,1201016,45655.125,153967.546875
1,11,13,8,2,900,12,1201016,45770.125,154264.84375
1,11,13,9,6,900,12,1201016,46356.375,154609.53125
1,11,13,10,11,900,12,1201016,46459.75,154670.640625
1,11,13,11,15,900,12,1201016,47148.125,155077.9375
1,11,13,12,15,900,12,1201016,47285.875,155159.546875
1,11,13,14,7,900,12,1201016,47562.125,155323.109375
1,11,13,14,7,900,12,1201016,47562.125,155323.109375
1,11,13,16,3,900,12,1201016,48559.875,155914.203125
1,11,13,17,6,900,12,1201016,48951.625,156155.828125
1,11,13,23,56,900,12,1201016,51457.625,160866.90625
1,11,13,23,56,900,12,1201016,51457.625,160866.90625
1,11,13,25,50,900,12,1201016,51474.875,161486.796875
1,11,15,25,47,900,12,1201016,50089.75,156815.421875
1,11,15,26,25,900,12,1201016,50641.25,157140.46875
1,11,15,26,32,900,12,1201016,50641.25,157140.46875
1,11,15,27,20,900,12,1201016,50761.75,157211.859375
1,11,15,28,13,900,12,1201016,50933.875,157313.265625
1,11,15,29,15,900,12,1201016,51347.375,157557.4375
1,11,15,30,9,900,12,1201016,47958.0,155557.34375
1,11,15,31,15,900,12,1201016,48968.625,156166.4375
1,11,15,32,2,900,12,1201016,49212.75,156302.921875
1,11,15,33,3,900,12,1201016,50369.0,156980.0625
1,11,15,34,4,900,12,1201016,50799.625,157234.109375
1,11,15,35,5,900,12,1201016,51374.125,157708.328125
1,11,15,36,8,900,12,1201016,51374.125,157708.328125
1,11,15,37,10,900,12,1201016,51518.5,163249.921875
1,11,15,38,13,900,12,1201016,51523.5,163249.828125
1,11,15,40,9,900,12,1201016,51523.5,163249.828125
1,11,15,41,5,900,12,1201016,51523.5,163249.828125
1,11,15,42,13,900,12,1201016,51523.5,163249.828125
1,11,15,43,24,900,12,1201016,51523.5,163249.828125
1,11,15,45,41,900,12,1201016,51523.5,163249.828125
1,11,15,46,39,900,12,1201016,51523.5,163249.828125
1,11,15,47,45,900,12,1201016,51523.5,163249.828125
1,11,15,48,53,900,12,1201016,51523.5,163249.828125
1,11,15,50,3,900,12,1201016,51523.5,163249.828125
1,11,15,51,13,900,12,1201016,51523.5,163249.828125
1,11,15,52,23,900,12,1201016,51523.5,163249.828125
1,11,15,53,36,900,12,1201016,51523.5,163249.828125
1,11,15,54,47,900,12,1201016,51523.5,163249.828125
1,11,15,56,40,900,12,1200020,51523.875,163248.734375
1,11,15,57,57,900,12,1200020,51479.5,161650.15625
1,11,15,59,8,900,12,1200020,51413.25,159031.1875
1,11,16,1,6,900,12,1200020,50768.5,157215.734375
1,11,16,2,22,900,12,1200020,49631.375,156545.140625
1,11,16,3,38,900,12,1200020,49146.0,156265.90625
1,11,16,4,55,900,12,1200020,48150.625,155671.09375
1,11,16,6,13,900,12,1200020,47875.125,155508.234375
1,11,16,7,30,900,12,1200020,47562.625,155323.46875
1,11,16,8,51,900,12,1200020,47080.75,155038.015625
1,11,16,10,14,900,12,1200020,46788.25,154864.921875
1,11,16,11,35,900,12,1200020,45841.5,154304.671875
1,11,16,13,8,900,12,1200020,45413.875,154051.40625
1,11,16,14,23,900,12,1200020,45259.125,153959.9375
1,11,16,15,51,900,12,1200020,44759.875,153664.296875
1,11,16,17,23,900,12,1200020,44144.5,153370.578125
1,11,16,18,55,900,12,1200020,43838.75,153886.953125
1,11,16,20,24,900,12,1200020,43482.25,154489.34375
1,11,16,21,55,900,12,1200020,43437.25,154940.421875
1,11,16,24,58,900,10,1000018,44611.0,155632.5625
1,11,16,26,32,900,10,1000018,45488.875,156152.5
1,11,16,28,5,900,10,1000018,46108.125,156519.515625
1,11,16,29,35,900,10,1000018,46566.5,156750.671875
1,11,16,31,6,900,10,1000018,47196.375,157101.828125
1,11,16,32,39,900,10,1000018,48036.375,157088.5
1,11,16,34,16,900,10,1000018,48176.5,157087.25
1,11,16,35,52,900,10,1000018,48856.25,157081.421875
1,11,16,37,25,900,10,1000018,49996.5,157069.671875
1,11,16,37,26,900,10,1000018,49996.5,157069.671875
1,11,16,39,13,900,10,1000018,50057.25,157845.96875
1,11,16,40,34,900,10,1000018,50087.625,158925.65625
1,11,16,42,13,900,10,1000018,50119.5,159605.828125
1,11,16,43,51,900,10,1000018,50134.5,160105.71875
1,11,16,45,24,900,10,1000018,50170.0,161325.046875
1,11,16,47,3,900,10,1000018,50224.625,163264.171875
1,11,16,48,39,900,10,1000018,50221.5,163939.171875
1,11,16,50,15,900,10,1000018,50227.125,163371.03125
1,11,16,51,53,900,10,1000018,50225.0,163284.96875
1,11,16,51,54,900,10,1000018,50225.0,163284.96875
1,11,16,53,32,900,10,1000018,50225.0,163284.96875
1,11,16,55,14,900,10,1000018,50225.0,163284.96875
1,11,16,58,36,900,10,1000018,50225.0,163284.96875
1,11,17,0,14,900,10,1000018,50225.0,163284.96875
1,11,17,1,55,900,10,1001020,50225.25,163283.5
1,11,17,3,35,900,10,1001020,50203.125,162505.0
1,11,17,6,55,900,10,1001020,50086.0,158866.953125
1,11,17,6,55,900,10,1001020,50086.0,158866.953125
1,11,17,8,39,900,10,1001020,50061.75,158027.203125
1,11,17,10,20,900,10,1001020,49797.75,157072.40625
1,11,17,12,6,900,10,1001020,48657.75,157083.0625
1,11,17,13,51,900,10,1001020,47697.75,157092.125
1,11,17,15,33,900,10,1001020,46837.875,157105.5
1,11,17,17,13,900,10,1001020,46229.25,157080.828125
1,11,17,18,58,900,10,1001020,45126.0,156432.46875
1,11,17,20,44,900,10,1001020,44540.75,156086.328125
1,11,17,22,28,900,10,1001020,44111.125,155832.40625
1,11,17,25,51,900,10,1001020,43115.375,155109.078125
1,11,17,27,32,900,12,1201017,43563.625,154351.65625
1,11,17,29,15,900,12,1201017,43706.25,154110.640625
1,11,17,30,59,900,12,1201017,44287.125,153129.921875
1,11,17,32,41,900,12,1201017,44497.5,153153.90625
1,11,17,34,21,900,12,1201017,44910.625,153397.9375
1,11,17,36,5,900,12,1201017,45237.875,153591.5
1,11,17,37,48,900,12,1201017,45598.875,153805.921875
1,11,17,39,33,900,12,1201017,45752.75,154255.328125
1,11,17,41,18,900,12,1201017,46580.0,154742.0
1,11,17,44,12,900,12,1201017,48111.875,155648.5
1,11,17,44,12,900,12,1201017,48163.875,155678.875
1,11,17,46,6,900,12,1201017,48933.875,156144.484375
1,11,17,47,50,900,12,1201017,49211.75,156302.21875
