date,month,hour,minute,second,index,unknown1,unknown2,x,y
31,10,8,6,45,901,4,401512,43083.375,156149.484375
31,10,8,6,45,901,4,401512,43083.375,156149.484375
31,10,8,8,26,901,4,401512,43083.375,156149.484375
31,10,8,9,30,901,4,401512,43083.375,156149.484375
31,10,8,10,3,901,4,401512,43083.375,156149.484375
31,10,8,11,44,901,4,401512,43083.375,156149.484375
31,10,8,13,25,901,4,401512,43083.375,156149.484375
31,10,8,15,0,901,4,401512,43083.375,156149.484375
31,10,8,16,43,901,4,401512,43083.375,156149.484375
31,10,8,18,24,901,4,401512,43083.375,156149.484375
31,10,8,19,58,901,4,401512,43083.375,156149.484375
31,10,8,21,40,901,4,401512,43083.375,156149.484375
31,10,8,23,15,901,4,401512,43083.375,156149.484375
31,10,8,26,28,901,4,401512,43083.375,156149.484375
31,10,8,27,59,901,4,401512,43083.375,156149.484375
31,10,8,29,34,901,4,401512,43083.375,156149.484375
31,10,8,31,1,901,4,401512,43083.375,156149.484375
31,10,8,32,38,901,4,401512,43083.375,156149.484375
31,10,8,34,7,901,4,401512,43083.375,156149.484375
31,10,8,34,42,901,4,401512,43083.375,156149.484375
31,10,8,37,1,901,4,401512,43083.375,156149.484375
31,10,8,38,30,901,4,401512,43083.375,156149.484375
31,10,8,39,57,901,4,401512,43083.375,156149.484375
31,10,8,41,25,901,4,401512,43083.375,156149.484375
31,10,8,42,57,901,4,401512,43083.375,156149.484375
31,10,8,44,25,901,4,401512,43083.375,156149.484375
31,10,8,47,21,901,4,401512,43083.375,156149.484375
31,10,8,48,44,901,4,401512,43083.375,156149.484375
31,10,8,50,10,901,4,401512,43083.375,156149.484375
31,10,8,51,39,901,4,401512,43083.375,156149.484375
31,10,8,52,57,901,4,401512,43083.375,156149.484375
31,10,8,54,22,901,4,401512,43083.375,156149.484375
31,10,8,55,48,901,4,401512,43172.125,156068.578125
31,10,8,57,9,901,4,401512,43305.5,155947.40625
31,10,8,58,30,901,4,401512,43305.5,155947.40625
31,10,8,59,48,901,4,401512,43490.125,155740.9375
31,10,9,1,6,901,4,401512,44518.75,154002.453125
31,10,9,1,6,901,4,401512,44518.75,154002.453125
31,10,9,2,25,901,4,401512,44844.875,153451.765625
31,10,9,3,39,901,3,300002,41486.125,159128.359375
31,10,9,3,40,901,3,300002,41486.125,159128.359375
31,10,9,4,57,901,3,300002,41512.0,160188.078125
31,10,9,6,12,901,3,300002,41525.5,160727.765625
31,10,9,7,28,901,3,300002,41721.125,161240.890625
31,10,9,8,40,901,3,300002,41895.5,163197.359375
31,10,9,9,53,901,3,300002,41718.125,164860.125
31,10,9,11,12,901,3,300002,40368.125,165639.40625
31,10,9,12,25,901,3,300002,39325.875,166055.484375
31,10,9,13,41,901,3,300002,39348.75,166987.203125
31,10,9,14,55,901,3,300002,39356.125,167286.953125
31,10,9,16,11,901,3,300002,39029.375,167481.3125
31,10,9,16,11,901,3,300002,39029.375,167481.3125
31,10,9,17,21,901,3,300002,39029.375,167481.3125
31,10,9,18,34,901,3,300002,39029.375,167481.3125
31,10,9,19,45,901,3,300002,39029.375,167481.3125
31,10,9,20,55,901,3,300002,39029.375,167481.3125
31,10,9,22,10,901,3,301006,39027.875,167481.34375
31,10,9,23,18,901,3,301006,39027.875,167481.34375
31,10,9,24,25,901,3,301006,39027.875,167481.34375
31,10,9,25,33,901,3,301006,38690.75,167138.140625
31,10,9,26,44,901,3,301006,38673.375,166338.40625
31,10,9,27,53,901,3,301006,39325.625,166045.28125
31,10,9,29,1,901,3,301006,39645.875,165689.0625
31,10,9,30,6,901,3,301006,41079.125,165623.90625
31,10,9,31,10,901,3,301006,41721.5,165008.921875
31,10,9,32,12,901,3,301006,41933.25,164103.96875
31,10,9,33,16,901,3,301006,41893.0,162886.203125
31,10,9,34,19,901,3,301006,41875.125,161826.34375
31,10,9,35,25,901,3,301006,41860.875,161246.53125
31,10,9,36,30,901,3,301006,41729.75,161240.71875
31,10,9,38,14,901,3,301006,41506.125,159956.875
31,10,9,39,19,901,3,301006,41488.75,159237.03125
31,10,9,40,21,901,3,301006,41483.375,159037.21875
31,10,9,41,23,901,3,301006,41470.0,158497.515625
31,10,9,42,27,901,3,301006,41463.75,158277.640625
31,10,9,43,27,901,3,301006,41285.375,157784.984375
31,10,9,44,31,901,3,301006,41743.875,157367.703125
31,10,9,45,31,901,3,301006,42246.75,156910.171875
31,10,9,46,30,901,3,301006,42527.875,156654.375
31,10,9,47,32,901,3,301006,43490.625,155739.828125
31,10,9,48,32,901,3,301006,43643.25,155481.46875
31,10,9,49,35,901,3,301006,43979.5,154913.40625
31,10,9,51,38,901,4,401511,44238.125,154476.390625
31,10,9,52,40,901,4,401511,44584.5,153891.359375
31,10,9,53,38,901,4,401511,44696.5,153702.015625
31,10,9,54,36,901,4,401511,45234.5,152793.3125
31,10,9,55,34,901,4,401511,45428.125,152637.03125
31,10,9,56,33,901,4,401511,45617.25,152749.0
31,10,9,57,32,901,4,401511,45996.25,152972.9375
31,10,9,58,29,901,4,401511,45689.625,152791.75
31,10,9,59,27,901,4,401511,46033.875,152995.5625
31,10,10,0,26,901,4,401511,46188.875,153087.046875
31,10,10,1,24,901,4,401511,46393.375,153212.578125
31,10,10,2,22,901,4,401511,46464.0,153250.25
31,10,10,3,28,901,4,401511,46945.75,153535.6875
31,10,10,4,15,901,4,401511,47106.625,153422.765625
31,10,10,5,18,901,4,401511,47234.0,153350.609375
31,10,10,6,9,901,4,401511,48630.0,153783.3125
31,10,10,7,7,901,4,401511,48690.0,153781.78125
31,10,10,8,5,901,4,401511,49469.75,153762.75
31,10,10,9,2,901,4,401511,50329.5,153741.109375
31,10,10,9,59,901,4,401511,51635.125,153710.96875
31,10,10,10,57,901,4,401511,52355.125,153699.015625
31,10,10,11,55,901,4,401511,52509.25,152893.8125
31,10,10,12,53,901,4,401511,52532.125,151585.8125
31,10,10,14,47,901,4,401511,52584.875,149827.40625
31,10,10,15,51,901,4,401511,52747.125,149001.625
31,10,10,16,42,901,4,401511,52898.125,148548.53125
31,10,10,17,41,901,4,401511,53489.5,147489.46875
31,10,10,18,38,901,4,401511,53440.0,146070.484375
31,10,10,19,35,901,4,401511,53438.375,146010.6875
31,10,10,20,31,901,4,401511,52885.875,145471.40625
31,10,10,20,31,901,4,401511,52885.875,145471.40625
31,10,10,21,31,901,4,401511,52885.875,145471.40625
31,10,10,22,30,901,4,401511,52885.875,145471.40625
31,10,10,23,29,901,4,401511,52885.875,145471.40625
31,10,10,24,27,901,4,401511,52885.875,145471.40625
31,10,10,25,23,901,4,400514,52883.875,145471.453125
31,10,10,26,22,901,4,400514,52883.875,145471.453125
31,10,10,27,19,901,4,400514,52883.875,145471.453125
31,10,10,28,16,901,4,400514,52369.75,145589.609375
31,10,10,29,18,901,4,400514,52256.0,145942.015625
31,10,10,30,10,901,4,400514,53260.875,146133.359375
31,10,10,31,8,901,4,400514,53482.625,147227.65625
31,10,10,32,5,901,4,400514,53604.75,148094.71875
31,10,10,33,4,901,4,400514,53262.25,148734.953125
31,10,10,34,2,901,4,400514,53025.0,149815.734375
31,10,10,34,59,901,4,400514,52503.625,149925.640625
31,10,10,35,59,901,4,400514,52524.0,151125.546875
31,10,10,36,57,901,4,400514,52537.75,151845.46875
31,10,10,37,57,901,4,400514,52424.125,153349.65625
31,10,10,38,56,901,4,400514,52249.25,153699.21875
31,10,10,39,55,901,4,400514,51109.25,153721.03125
31,10,10,40,55,901,4,400514,50409.625,153738.828125
31,10,10,41,52,901,4,400514,49510.0,153761.96875
31,10,10,42,51,901,4,400514,48910.25,153776.8125
31,10,10,43,48,901,4,400514,48530.125,153785.59375
31,10,10,45,40,901,4,400514,47800.125,153682.953125
31,10,10,46,36,901,4,400514,47800.125,153682.953125
31,10,10,47,31,901,4,400514,47626.625,153583.0625
31,10,10,48,26,901,4,400514,47592.25,153562.578125
31,10,10,49,22,901,4,400514,47316.875,153399.71875
31,10,10,50,18,901,4,400514,47316.875,153399.71875
31,10,10,51,15,901,4,400514,47074.125,153477.390625
31,10,10,52,12,901,4,400514,46633.625,153348.75
31,10,10,53,11,901,4,400514,46099.5,153034.421875
31,10,10,54,8,901,4,400514,46099.5,153034.421875
31,10,10,55,6,901,4,400514,46099.5,153034.421875
31,10,10,56,6,901,4,400514,45102.625,153015.875
31,10,10,57,4,901,4,400514,45254.75,152758.609375
31,10,10,58,4,901,4,400514,45122.375,152982.28125
31,10,10,59,2,901,4,400514,44928.875,153309.296875
31,10,10,59,59,901,4,400514,44908.625,153343.984375
31,10,11,0,56,901,4,400514,44857.5,153429.984375
31,10,11,1,57,901,4,400514,44531.75,153980.6875
31,10,11,2,55,901,4,400514,43809.0,155201.671875
31,10,11,3,53,901,4,400514,43645.875,155477.03125
31,10,11,4,49,901,4,400514,43028.875,156199.078125
31,10,11,5,48,901,4,400514,42848.375,156363.15625
31,10,11,6,47,901,4,400514,42437.375,156073.875
31,10,11,7,46,901,4,400514,42531.0,155780.890625
31,10,11,8,43,901,4,400514,42743.625,155777.09375
31,10,11,9,41,901,4,400514,42864.625,155910.4375
31,10,11,10,37,901,4,400514,43082.75,156149.875
31,10,11,10,37,901,4,400514,43082.75,156149.875
31,10,11,11,36,901,4,400514,43082.75,156149.875
31,10,11,12,32,901,4,401512,43083.375,156149.484375
31,10,11,12,33,901,4,401512,43083.375,156149.484375
31,10,11,13,28,901,4,401512,43083.375,156149.484375
31,10,11,14,27,901,4,401512,43083.375,156149.484375
31,10,11,17,21,901,4,401512,43836.25,155155.53125
31,10,11,18,18,901,4,401512,44182.5,154570.5
31,10,11,19,15,901,4,401512,44416.75,154174.46875
31,10,11,20,12,901,4,401512,44712.25,153675.4375
31,10,11,21,11,901,4,401512,44865.125,153417.4375
31,10,11,22,10,901,4,401512,45119.75,152987.078125
31,10,11,23,7,901,4,401512,45410.625,152627.15625
31,10,11,24,4,901,4,401512,45531.125,152698.140625
31,10,11,25,1,901,4,401512,45819.5,152868.75
31,10,11,25,59,901,4,401512,45991.75,152970.46875
31,10,11,26,57,901,4,401512,46611.75,153336.046875
31,10,11,27,55,901,4,401512,46938.0,153530.734375
31,10,11,29,8,901,4,401512,47020.375,153568.171875
31,10,11,31,21,901,4,401512,47415.5,153458.0
31,10,11,32,29,901,4,401512,47673.875,153610.984375
31,10,11,33,36,901,4,401512,47812.75,153690.015625
31,10,11,34,43,901,4,401512,49144.5,153771.203125
31,10,11,36,34,901,4,401512,51255.0,153717.515625
31,10,11,37,46,901,4,401512,52274.625,153699.09375
31,10,11,38,53,901,4,401512,52437.0,153663.15625
31,10,11,40,0,901,4,401512,52502.0,152553.921875
31,10,11,41,8,901,4,401512,52532.75,151605.875
31,10,11,42,14,901,4,401512,52509.375,150265.921875
31,10,11,43,22,901,4,401512,52604.625,149827.03125
31,10,11,44,28,901,4,401512,52748.625,149081.84375
31,10,11,45,38,901,4,401512,53157.875,148539.578125
31,10,11,46,47,901,4,401512,53455.0,146530.25
31,10,11,47,59,901,4,401512,53438.375,146010.6875
