server,bus1,bus2,bus3
866,79,135,244,
715,93,298,47,
773,94,307,75,
730,128,302,88,
717,125,307,111,
803,158,271,157,
702,144,244,122,
730,112,239,119,
668,136,254,125,
738,123,212,129,
707,148,194,110,
701,196,267,130,
805,182,210,119,
636,204,141,130,
754,180,136,122,
712,148,141,127,
720,197,183,223,
686,188,219,187,
713,184,186,171,
589,234,255,204,
617,215,210,186,
572,221,280,176,
642,149,147,174,
786,167,173,167,
954,102,175,165,
845,92,240,202,
838,91,180,213,
794,123,179,204,
778,124,206,189,
774,155,217,184,
733,120,224,186,
751,131,240,196,
633,121,201,160,
688,134,268,208,
745,123,204,131,
626,191,188,112,
797,164,234,176,
744,135,197,123,
823,159,238,153,
653,195,148,138,
854,153,208,154,
776,140,196,166,
779,127,203,189,
743,162,160,209,
845,169,143,194,
677,226,108,168,
738,173,213,174,
789,195,206,197,
684,122,210,173,
786,163,217,168,
755,196,240,182,
726,182,244,178,
722,177,263,171,
700,113,167,161,
766,151,165,170,
796,135,212,167,
661,178,232,175,
649,134,145,186,
761,185,190,172,
671,178,186,172,
692,191,188,121,
674,141,161,128,
759,151,189,109,
778,129,142,130,
805,175,200,152,
645,133,224,107,
668,131,197,111,
708,144,192,137,
713,114,193,110,
665,127,192,161,
869,92,212,177,
749,82,211,201,
766,60,235,187,
747,50,234,176,
788,77,222,182,
788,46,210,165,
757,36,152,190,
837,45,188,199,
841,63,229,196,
852,68,229,211,
764,82,175,204,
793,97,170,170,
805,121,213,180,
685,181,60,190,
892,177,80,198,
825,169,57,200,
826,196,86,220,
806,204,42,187,
788,137,27,160,
817,165,146,201,
703,145,129,191,
785,179,159,197,
745,214,218,207,
705,188,218,199,
629,164,300,179,
711,124,219,224,
698,141,140,205,
783,120,137,197,
728,146,153,197,
678,119,160,161,
