good,medium,bad
837,462,25
1050,93,10
1086,158,5
1136,106,6
1124,127,9
1138,223,28
1064,131,17
1003,182,15
981,177,25
990,211,1
970,173,16
1074,217,3
731,422,163
901,205,5
849,327,16
988,130,10
985,287,51
987,284,9
992,238,24
1008,268,6
1035,170,23
1083,155,11
960,150,2
913,295,85
821,378,197
692,442,245
610,524,188
851,379,70
968,299,30
1066,257,7
1058,186,19
1037,202,79
1072,42,1
915,272,111
1072,126,5
1067,43,7
1022,240,109
1004,179,16
1004,266,103
943,184,7
896,419,54
934,335,9
1007,269,22
967,275,32
916,382,53
1019,152,8
1055,227,16
958,336,93
990,195,4
1142,192,0
995,310,68
994,320,16
1019,301,13
980,128,33
917,331,4
938,328,44
1016,201,29
997,106,11
1018,271,19
1057,129,21
1029,163,0
968,136,0
924,284,0
1001,173,5
936,345,51
958,151,0
1011,93,3
977,187,17
931,153,46
981,157,7
886,371,93
883,310,50
869,302,77
896,282,29
957,248,64
1085,120,4
1040,95,0
1024,241,4
947,268,114
953,297,110
1010,214,1
1039,182,9
953,265,101
703,403,10
536,607,204
659,510,82
521,557,250
698,486,55
832,266,14
875,401,53
847,292,29
900,315,105
845,461,78
973,324,13
987,281,4
958,290,30
951,212,21
1054,177,6
992,213,19
970,142,6
