good,medium,bad
76,40,1208
160,138,855
791,294,164
891,324,33
994,248,18
965,375,49
970,232,10
955,219,26
885,276,22
931,256,15
967,180,12
984,310,0
723,379,214
776,307,28
728,454,10
912,205,11
890,394,39
866,377,37
906,304,44
824,425,33
938,274,16
1047,184,18
903,206,3
858,392,43
684,474,238
604,536,239
592,599,131
840,389,71
917,344,36
1003,312,15
919,323,21
946,318,54
1023,84,8
819,451,28
948,243,12
991,119,7
883,379,109
911,197,91
979,323,71
962,143,29
942,402,25
912,347,19
964,317,17
989,272,13
971,353,27
997,167,15
1062,232,4
873,409,105
939,222,28
1147,186,1
947,389,37
988,302,40
1025,282,26
979,133,29
808,388,56
773,478,59
921,292,33
982,113,19
960,301,47
1013,171,23
953,232,7
979,121,4
906,290,12
991,168,20
905,392,35
974,129,6
1022,78,7
979,194,8
905,198,27
979,151,15
836,478,36
818,361,64
772,425,51
859,334,14
906,335,28
1070,137,2
1027,108,0
1088,181,0
916,348,65
936,321,103
1049,146,30
1040,185,5
960,303,56
823,273,20
712,533,102
800,366,85
646,553,129
917,307,15
930,170,12
945,371,13
915,243,10
805,433,82
838,452,94
107,25,1178
73,64,1135
378,382,518
946,228,10
1090,142,5
1042,161,21
1058,53,7
