server,bus1,bus2,bus3
363,270,371,320,
715,118,146,174,
579,107,363,200,
829,50,170,199,
853,103,157,147,
865,135,211,178,
785,84,260,83,
776,86,247,91,
715,95,291,82,
780,105,227,90,
724,114,245,76,
765,178,262,89,
780,135,256,145,
794,120,124,73,
824,112,162,94,
716,119,196,97,
812,160,225,126,
783,152,218,127,
797,164,179,114,
745,182,220,135,
726,162,231,109,
772,174,226,77,
729,110,214,59,
795,151,250,97,
860,131,257,148,
850,127,244,158,
866,131,201,124,
831,124,213,132,
825,114,239,119,
799,168,240,123,
765,138,244,116,
793,156,257,112,
755,71,207,82,
757,143,314,84,
798,95,234,76,
732,127,200,58,
835,153,270,113,
725,145,220,109,
819,167,275,112,
692,120,208,114,
818,149,267,135,
816,125,230,107,
765,168,261,104,
823,147,191,113,
855,189,187,120,
717,187,143,132,
767,171,209,151,
816,179,210,182,
666,118,264,141,
793,163,238,140,
777,197,236,163,
717,194,245,174,
701,177,255,200,
697,103,240,101,
751,171,214,116,
809,128,258,115,
712,156,259,119,
668,110,216,120,
776,148,241,143,
726,99,237,145,
721,126,194,151,
710,81,182,131,
788,93,179,148,
727,95,160,197,
795,127,199,211,
634,154,187,134,
649,150,198,110,
693,185,199,104,
659,175,210,86,
722,149,178,96,
806,125,289,130,
818,100,214,111,
808,105,232,103,
807,81,217,102,
812,97,193,167,
783,72,182,172,
721,81,165,168,
812,99,180,178,
788,183,213,145,
868,134,226,132,
768,153,232,72,
743,149,253,85,
796,161,260,102,
788,143,90,95,
856,174,126,191,
858,181,95,117,
880,188,122,138,
841,215,81,102,
786,149,81,96,
853,167,156,153,
771,97,112,188,
843,187,152,138,
823,154,157,250,
78,407,370,455,
483,199,319,271,
827,119,213,119,
732,146,181,125,
754,152,173,158,
780,125,164,155,
719,130,138,131,
