server,bus1,bus2,bus3
906,128,159,131
789,121,137,106
878,118,146,107
820,148,160,120
885,129,144,102
908,170,175,136
840,116,154,102
898,105,123,74
824,106,150,103
886,91,131,94
838,110,129,82
932,122,146,94
994,133,92,97
780,126,94,111
915,101,86,90
732,122,152,122
931,135,143,114
874,132,152,122
871,147,139,97
878,152,145,107
860,124,135,109
859,141,147,102
806,94,119,93
914,108,151,120
993,87,178,138
918,107,186,168
825,122,169,206
780,175,176,169
897,134,137,129
893,163,156,118
867,137,152,107
916,138,156,108
753,115,139,108
967,104,141,86
840,115,152,96
795,116,129,77
1004,116,154,97
855,112,150,82
944,137,188,104
721,143,152,118
974,117,168,110
897,108,150,123
811,155,192,140
953,128,88,105
938,170,105,138
777,160,107,135
853,161,163,121
964,141,147,135
786,126,158,119
924,148,149,113
957,145,153,118
862,165,169,134
884,153,173,123
842,97,111,91
884,116,150,102
913,117,162,118
796,154,175,121
789,93,134,98
962,118,139,89
816,132,161,98
857,120,131,84
813,85,130,76
897,98,134,79
764,137,151,127
927,137,152,116
786,119,122,82
742,131,140,94
817,128,134,102
747,112,155,116
817,91,132,105
995,75,158,122
824,89,181,149
902,70,156,120
863,72,154,118
892,124,143,110
862,114,130,103
789,123,130,93
861,145,147,116
947,147,146,89
899,158,177,126
787,136,177,125
877,102,139,112
974,135,119,91
823,131,71,91
992,153,75,127
822,178,100,151
900,189,98,141
815,187,89,148
841,95,68,108
947,129,149,104
792,127,138,111
947,131,147,95
924,160,174,126
845,173,172,120
912,115,142,103
929,111,132,106
849,112,123,100
855,117,146,119
843,116,147,118
836,93,113,76
869,120,86,123
940,143,83,98
908,132,82,85
753,128,122,104
931,117,137,90
810,105,127,100
862,112,137,108
853,82,121,77
896,102,113,64
918,134,160,115
832,111,150,110
828,105,142,97
933,138,160,128
966,138,156,100
782,108,156,131
886,95,125,103
876,126,119,112
877,141,120,36
967,175,169,12
885,207,210,12
899,214,238,13
765,176,208,11
985,99,166,10
865,107,238,12
861,109,222,11
950,197,215,14
856,236,265,14
922,188,200,10
861,168,191,11
